,TEMP,month,year
6,42.76,04,1958
18,45.85,04,1959
30,44.23,04,1960
42,43.76,04,1961
54,47.38,04,1962
66,40.28,04,1963
78,41.63,04,1964
90,45.48,04,1965
102,45.71,04,1966
114,38.02,04,1967
126,41.75,04,1968
138,44.06,04,1969
150,38.68,04,1970
162,41.94,04,1971
174,40.98,04,1972
186,43.81,04,1973
198,42.6,04,1974
210,37.83,04,1975
222,41.73,04,1976
234,46.86,04,1977
246,43.01,04,1978
258,43.38,04,1979
270,46.05,04,1980
282,44.81,04,1981
294,40.05,04,1982
306,41.65,04,1983
318,41.25,04,1984
330,46.92,04,1985
342,42.82,04,1986
354,49.51,04,1987
366,46.2,04,1988
378,47.91,04,1989
390,49.14,04,1990
402,41.96,04,1991
414,47.93,04,1992
426,42.89,04,1993
438,46.19,04,1994
450,42.49,04,1995
462,44.91,04,1996
474,42.72,04,1997
486,43.41,04,1998
498,41.48,04,1999
510,47.31,04,2000
522,41.53,04,2001
534,44.93,04,2002
546,41.79,04,2003
558,46.62,04,2004
570,43.68,04,2005
582,44.38,04,2006
594,44.24,04,2007
606,39.91,04,2008
618,42.87,04,2009
630,41.53,04,2010
642,39.49,04,2011
654,45.58,04,2012
666,44.62,04,2013
678,44.9,04,2014
690,44.0,04,2015
702,49.76,04,2016
714,42.37,04,2017
726,44.82,04,2018
